id,name,number,latitude,longitude
7338653551721715301,Abbey Cross (Eastbound),530021,53.38777,-8.68336
7338653551721719191,Abbey Cross (Mullagh Hill),533911,53.3877,-8.68315
7338653551721816671,Abbey Street (Bruce),631391,54.27069,-8.47123
7338653551721821631,Abbeydorney (Dillanes Service Station),636351,52.34551,-9.68729
7338653551721531021,Abbeydorney (Opp Dillanes),345741,52.34552,-9.68715
7338653551721820941,Abbeyfeale (Church),635661,52.38653,-9.29526
7338653551721520991,Abbeyfeale (Opp Sheehys Hardware),335711,52.37799,-9.30593
7338653551721521011,Abbeyfeale (Opposite Church),335731,52.38658,-9.2954
7338653551721521001,Abbeyfeale (Sheehys Hardware),335721,52.37757,-9.30662
7338653551721735721,Abbeyknockmoy (Mannions Bar),550441,53.43698,-8.74894
7338653551721735291,Abbeyknockmoy (Opp Mannions Bar),550011,53.43698,-8.74894
7338653551721316651,Abbeylara (Crawfords Pub),131371,53.76519,-7.4488
7338653551721290241,Abbeylara (Handball Alley),104961,53.76543,-7.44918
7338653551721816691,Achill Sound (Opp Sweeneys),631411,53.93202,-9.92361
7338653551721816701,Achill Sound (Sweeneys Supermarket),631421,53.93201,-9.92367
7338653551721741381,Aclare (Gallaghers High Road),556101,54.03628,-8.89952
7338653551721741511,Aclare (McGuiness High Road),556231,54.03622,-8.89951
7338653551721515671,Adamstown (Opp Supermarket),330391,52.39301,-6.71912
7338653551721515621,Adamstown (Supermarket),330341,52.393,-6.71918
7338653551721521621,Adare (Heritage Centre),336341,52.56453,-8.78971
7338653551721816561,Adare (Main St at Town Park),631281,52.56439,-8.78959
7338653551721400341,Adrigole (Hungry Hill Lodge),215061,51.6934,-9.72487
7338653551721435841,Adrigole (Pegs Shop),250561,51.69449,-9.72212
7338653551721545291,Aghadoe (Opposite Youth Hostel),360011,52.07333,-9.57664
7338653551721545281,Aghadoe (Youth Hostel),360001,52.07322,-9.57661
7338653551721435441,Aghadown (Kilcoe Church),250161,51.56058,-9.39109
7338653551721400821,Aghadown (Kilcoe Cr),215541,51.56,-9.38772
7338653551721420381,Aherla (Opp The Sportsman),235101,51.85365,-8.73294
7338653551721421501,Aherla (The Sportsman),236221,51.85376,-8.73293
7338653551721401101,Airegadeen (Harringtons Pub),215821,51.66238,-8.75988
7338653551721401091,Airegadeen (Opp Harringtons Pub),215811,51.66256,-8.7597
7338653551721420961,Albert Street (Careys Tools),235681,51.89776,-8.46293
7338653551721743691,Allen (Church),558411,53.23937,-6.85553
7338653551721287931,Allen (Opp Church),102651,53.24193,-6.85264
7338653551721317731,Allenwood (Centra),132451,53.28388,-6.86214
7338653551721287991,Allenwood (Opp Centra),102711,53.28401,-6.86051
